name_en,name_ar,site_type,governorate_code,latitude,longitude,era,description
Amman Citadel (Jabal al-Qal'a),القلعة عمان,archaeological,AMM,31.95,35.934,Neolithic-Roman-Umayyad,"Major archaeological complex: Temple of Hercules, Umayyad Palace, Byzantine Basilica, Jordan Archaeological Museum"
Roman Theatre (Amman),المسرح الروماني عمان,archaeological,AMM,31.95,35.94,Roman (2nd century AD),"6,000-seat Roman amphitheatre, best-preserved in Jordan"
Odeon Theatre (Amman),مسرح الأوديون عمان,archaeological,AMM,31.9497,35.9397,Roman (2nd century AD),"Small Roman theatre, used for concerts and events"
Nymphaeum (Amman),النيمفيوم عمان,archaeological,AMM,31.951,35.938,Roman (2nd century AD),"Grand public fountain complex, once ornately decorated"
King Hussein Mosque,مسجد الملك حسين,religious,AMM,31.951,35.936,Ottoman (rebuilt 1924),"Heart of modern downtown, rebuilt on ancient mosque site"
King Abdullah I Mosque,مسجد الملك عبدالله الأول,religious,AMM,31.968,35.92,Modern (1989),"Major blue-domed mosque, Islamic museum inside"
Ain Ghazal,عين غزال,archaeological,AMM,31.99,35.9,Neolithic (7250 BC),"One of the largest Neolithic sites in the Near East, plaster statues"
Jordan Museum,المتحف الأردني,museum,AMM,31.948,35.93,Modern,"National museum with Dead Sea Scrolls, Ain Ghazal statues"
Royal Automobile Museum,متحف السيارات الملكي,museum,AMM,31.975,35.86,Modern,Classic car collection of the Royal Family
Rainbow Street,شارع الرينبو,cultural,AMM,31.953,35.922,Modern,"Cultural street with galleries, cafes, souks"
Rujm al-Malfouf,رجم ملفوف,archaeological,AMM,31.96,35.95,Bronze Age,Iron Age tower and megalithic tomb
Downtown Souks (Al-Balad),أسواق وسط البلد,cultural,AMM,31.95,35.936,Ottoman-Modern,"Traditional gold souk, spice market, and commercial district"
Iraq al-Amir (Qasr al-Abd),عراق الأمير,archaeological,AMM,31.91,35.73,Hellenistic (2nd century BC),"Palace of the Tobiad family, one of few Hellenistic buildings in Jordan"
Umm Qais (Gadara),أم قيس (غادارا),archaeological,IRB,32.6528,35.6811,Roman-Byzantine,"Decapolis city with Roman streets, theatre, basilica; views of Sea of Galilee"
Pella (Tabqet Fahl),بيلا,archaeological,IRB,32.45,35.61,Neolithic-Umayyad,"One of the oldest continuously inhabited cities, 6000 years of occupation"
Capitolias (Beit Ras),بيت راس (كابيتوليس),archaeological,IRB,32.57,35.87,Roman,"Decapolis city with theatre, tombs, and Roman road"
Abila (Decapolis),أبيلا,archaeological,IRB,32.67,35.87,Roman-Byzantine,"Decapolis city with churches, tombs, underground cisterns"
Tell Abu al-Kharaz,تل أبو الخرز,archaeological,IRB,32.52,35.6,Bronze Age-Iron Age,Major archaeological tell with 3000+ years of occupation
Tell el-Hammam,تل الحمام,archaeological,IRB,31.88,35.66,Bronze Age,"Large Bronze Age city, possibly Biblical Sodom"
Jerash (Gerasa),جرش (جيراسا),archaeological,JER,32.2806,35.8994,Roman-Byzantine,"Best-preserved Roman provincial city: Oval Plaza, Cardo, Theatre, Temple of Artemis, Hadrian's Arch"
Hadrian's Arch (Jerash),بوابة هادريان جرش,archaeological,JER,32.277,35.894,Roman (129 AD),Triumphal arch built for Emperor Hadrian's visit
Temple of Artemis (Jerash),معبد أرتميس جرش,archaeological,JER,32.281,35.897,Roman (150 AD),"Dedicated to patron goddess of Gerasa, massive Corinthian columns"
South Theatre (Jerash),المسرح الجنوبي جرش,archaeological,JER,32.278,35.898,Roman (90 AD),"3,000-seat theatre with remarkable acoustics"
